    1:    0:2295.49985276:3241.51659094  : 1 ; Oilseed farming
    2:    1:161.16824289:227.58857189  : 1 ; Oilseed farming : 1 ; Oilseed farming
    3:    1:123.16989527:130.67336585  : 1 ; Oilseed farming : 31 ; Power generation and supply
    4:    1:75.29037764:103.41145268  : 1 ; Oilseed farming : 2 ; Grain farming
    5:    1:71.01109240:105.36819747  : 1 ; Oilseed farming : 130 ; Fertilizer Manufacturing
    6:    1:39.90844291:62.61889772  : 1 ; Oilseed farming : 8 ; Cotton farming
    7:    1:28.90770459:66.99207863  : 1 ; Oilseed farming : 115 ; Petroleum refineries
    8:    2:18.27456939:27.11630494  : 1 ; Oilseed farming : 19 ; Agriculture and forestry support activities : 130 ; Fertilizer Manufacturing
    9:    2:18.26984570:25.17681084  : 1 ; Oilseed farming : 115 ; Petroleum refineries : 20 ; Oil and gas extraction
   10:    2:22.59845117:23.97514158  : 1 ; Oilseed farming : 352 ; Real estate : 31 ; Power generation and supply
   11:    1:15.96838587:18.19217595  : 1 ; Oilseed farming : 33 ; "Water, sewage and other systems "
   12:    2:11.54220683:17.12664159  : 1 ; Oilseed farming : 130 ; Fertilizer Manufacturing : 130 ; Fertilizer Manufacturing
   13:    2:11.31570646:15.97911243  : 1 ; Oilseed farming : 1 ; Oilseed farming : 1 ; Oilseed farming
   14:    2:8.64782264:9.17464523  : 1 ; Oilseed farming : 1 ; Oilseed farming : 31 ; Power generation and supply
   15:    1:6.29902116:35.02747950  : 1 ; Oilseed farming : 131 ; Pesticide and other agricultural chemical manufacturing
   16:    1:6.22116735:11.26445049  : 1 ; Oilseed farming : 12 ; Cattle ranching and farming
   17:    2:6.16323981:15.48320124  : 1 ; Oilseed farming : 131 ; Pesticide and other agricultural chemical manufacturing : 126 ; Other basic organic chemical manufacturing
   18:    1:6.17484489:9.08969014  : 1 ; Oilseed farming : 324 ; Truck transportation
   19:    2:4.98572586:7.39795615  : 1 ; Oilseed farming : 1 ; Oilseed farming : 130 ; Fertilizer Manufacturing
   20:    2:5.28617671:7.26057207  : 1 ; Oilseed farming : 1 ; Oilseed farming : 2 ; Grain farming
   21:    2:5.21905627:7.16838203  : 1 ; Oilseed farming : 2 ; Grain farming : 2 ; Grain farming
   22:    2:4.83550793:7.17505867  : 1 ; Oilseed farming : 2 ; Grain farming : 130 ; Fertilizer Manufacturing
   23:    1:4.56145000:16.17333471  : 1 ; Oilseed farming : 125 ; All other basic inorganic chemical manufacturing
